"Index Name","Date","Open","High","Low","Close"
"NIFTY500 VALUE 50","21 Feb 2023","-","-","-","6926.93"
"NIFTY500 VALUE 50","20 Feb 2023","-","-","-","6950.39"
"NIFTY500 VALUE 50","17 Feb 2023","-","-","-","6993.15"
"NIFTY500 VALUE 50","16 Feb 2023","-","-","-","7008.74"
"NIFTY500 VALUE 50","15 Feb 2023","-","-","-","6963.09"
"NIFTY500 VALUE 50","14 Feb 2023","-","-","-","6936.42"
"NIFTY500 VALUE 50","13 Feb 2023","-","-","-","6923.42"
"NIFTY500 VALUE 50","10 Feb 2023","-","-","-","6972.95"
"NIFTY500 VALUE 50","09 Feb 2023","-","-","-","6989.77"
"NIFTY500 VALUE 50","08 Feb 2023","-","-","-","6981.88"
"NIFTY500 VALUE 50","07 Feb 2023","-","-","-","6930.94"
"NIFTY500 VALUE 50","06 Feb 2023","-","-","-","6990.88"
"NIFTY500 VALUE 50","03 Feb 2023","-","-","-","6995.57"
"NIFTY500 VALUE 50","02 Feb 2023","-","-","-","6968.81"
"NIFTY500 VALUE 50","01 Feb 2023","-","-","-","6992.16"
"NIFTY500 VALUE 50","31 Jan 2023","-","-","-","7115.05"
"NIFTY500 VALUE 50","30 Jan 2023","-","-","-","6967.57"
"NIFTY500 VALUE 50","27 Jan 2023","-","-","-","6995.36"
"NIFTY500 VALUE 50","25 Jan 2023","-","-","-","7156.43"
"NIFTY500 VALUE 50","24 Jan 2023","-","-","-","7239.85"
"NIFTY500 VALUE 50","23 Jan 2023","-","-","-","7300.67"
"NIFTY500 VALUE 50","20 Jan 2023","-","-","-","7276.77"
"NIFTY500 VALUE 50","19 Jan 2023","-","-","-","7301.23"
"NIFTY500 VALUE 50","18 Jan 2023","-","-","-","7257.97"
"NIFTY500 VALUE 50","17 Jan 2023","-","-","-","7189.32"
"NIFTY500 VALUE 50","16 Jan 2023","-","-","-","7193.37"
"NIFTY500 VALUE 50","13 Jan 2023","-","-","-","7205.07"
"NIFTY500 VALUE 50","12 Jan 2023","-","-","-","7152.60"
"NIFTY500 VALUE 50","11 Jan 2023","-","-","-","7202.72"
"NIFTY500 VALUE 50","10 Jan 2023","-","-","-","7173.30"
"NIFTY500 VALUE 50","09 Jan 2023","-","-","-","7202.18"
"NIFTY500 VALUE 50","06 Jan 2023","-","-","-","7137.87"
"NIFTY500 VALUE 50","05 Jan 2023","-","-","-","7163.65"
"NIFTY500 VALUE 50","04 Jan 2023","-","-","-","7115.16"
"NIFTY500 VALUE 50","03 Jan 2023","-","-","-","7222.05"
"NIFTY500 VALUE 50","02 Jan 2023","-","-","-","7198.05"
"NIFTY500 VALUE 50","30 Dec 2022","-","-","-","7058.28"
"NIFTY500 VALUE 50","29 Dec 2022","-","-","-","6990.96"
"NIFTY500 VALUE 50","28 Dec 2022","-","-","-","6958.72"
"NIFTY500 VALUE 50","27 Dec 2022","-","-","-","6942.72"
"NIFTY500 VALUE 50","26 Dec 2022","-","-","-","6830.05"
"NIFTY500 VALUE 50","23 Dec 2022","-","-","-","6620.31"
"NIFTY500 VALUE 50","22 Dec 2022","-","-","-","6885.53"
"NIFTY500 VALUE 50","21 Dec 2022","-","-","-","6956.16"
"NIFTY500 VALUE 50","20 Dec 2022","-","-","-","7097.03"
"NIFTY500 VALUE 50","19 Dec 2022","-","-","-","7118.68"
"NIFTY500 VALUE 50","16 Dec 2022","-","-","-","7063.96"
"NIFTY500 VALUE 50","15 Dec 2022","-","-","-","7160.02"
"NIFTY500 VALUE 50","14 Dec 2022","-","-","-","7215.33"
"NIFTY500 VALUE 50","13 Dec 2022","-","-","-","7141.01"
"NIFTY500 VALUE 50","12 Dec 2022","-","-","-","7108.71"
"NIFTY500 VALUE 50","09 Dec 2022","-","-","-","7030.17"
"NIFTY500 VALUE 50","08 Dec 2022","-","-","-","7102.85"
"NIFTY500 VALUE 50","07 Dec 2022","-","-","-","7038.80"
"NIFTY500 VALUE 50","06 Dec 2022","-","-","-","7056.97"
"NIFTY500 VALUE 50","05 Dec 2022","-","-","-","7085.41"
"NIFTY500 VALUE 50","02 Dec 2022","-","-","-","7013.35"
"NIFTY500 VALUE 50","01 Dec 2022","-","-","-","6995.52"
"NIFTY500 VALUE 50","30 Nov 2022","-","-","-","6954.91"
"NIFTY500 VALUE 50","29 Nov 2022","-","-","-","6905.10"
"NIFTY500 VALUE 50","28 Nov 2022","-","-","-","6896.97"
"NIFTY500 VALUE 50","25 Nov 2022","-","-","-","6870.42"
"NIFTY500 VALUE 50","24 Nov 2022","-","-","-","6779.01"
"NIFTY500 VALUE 50","23 Nov 2022","-","-","-","6699.18"
"NIFTY500 VALUE 50","22 Nov 2022","-","-","-","6677.06"
"NIFTY500 VALUE 50","21 Nov 2022","-","-","-","6651.27"
"NIFTY500 VALUE 50","18 Nov 2022","-","-","-","6646.07"
"NIFTY500 VALUE 50","17 Nov 2022","-","-","-","6652.21"
"NIFTY500 VALUE 50","16 Nov 2022","-","-","-","6653.77"
"NIFTY500 VALUE 50","15 Nov 2022","-","-","-","6690.88"
"NIFTY500 VALUE 50","14 Nov 2022","-","-","-","6668.70"
"NIFTY500 VALUE 50","11 Nov 2022","-","-","-","6635.61"
"NIFTY500 VALUE 50","10 Nov 2022","-","-","-","6576.79"
"NIFTY500 VALUE 50","09 Nov 2022","-","-","-","6647.81"
"NIFTY500 VALUE 50","07 Nov 2022","-","-","-","6668.24"
